repo,id_build,branch,commit_sha,languages,status,conclusion,created_at,updated_at,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,file_types,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_pull_req_number,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,gh_job_id,total_jobs,gh_first_commit_created_at,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,git_merged_with,gh_test_lines_per_kloc,build_language,dependencies_count,workflow_size,test_framework,tests_passed,tests_failed,tests_skipped,tests_total,fetch_duration
jessecooper/pyetrade,8733126391,master,e910df17742db0ede147324a13c438305e66491f,Python,completed,success,2024-04-18T06:01:15Z,2024-04-18T06:05:06Z,231.0,11,0,0,0,True,0,0,".toml, .lock, .txt, .md",0,0,0,0,0,False,0,0,0,4,4,2,"[23961251625, 23961251962, 23961252265, 23961252452, 23961252613, 23961252788, 23961252979, 23961253200, 23961253373, 23961253639, 23961253837, 23961254038]",12,2024-04-18T06:01:03Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,7.6461591720581055
jessecooper/pyetrade,8744895103,master,5ed4f7b273df04b942cc67237af413676529d6b3,Python,completed,success,2024-04-18T21:25:39Z,2024-04-18T21:29:45Z,246.0,12,0,0,0,True,1,1,".txt, .lock, .py",0,0,0,2,0,False,1,0,1,1,1,2,"[23998761830, 23998762149, 23998762427, 23998762633, 23998762818, 23998763029, 23998763310, 23998763546, 23998763735, 23998763902, 23998764129, 23998764348]",12,2024-04-18T21:24:51Z,3,1,0,,0.0,,11,42,['pytest'],0,0,0,0,6.769801378250122
jessecooper/pyetrade,8745007668,master,3c1dd39561be87eb7560bdb529fb3e32c60af605,Python,completed,success,2024-04-18T21:36:21Z,2024-04-18T21:40:37Z,256.0,14,0,0,0,True,17,18,", .toml, .lock, .py, .txt, .md",0,0,0,35,0,False,17,0,4,3,4,2,"[23999110887, 23999111210, 23999111441, 23999111638, 23999111842, 23999112061, 23999112305, 23999112498, 23999112694, 23999112888, 23999113290, 23999113558]",12,2024-04-18T21:34:29Z,3,4,0,,0.0,,11,42,['pytest'],0,0,0,0,8.708073377609253
jessecooper/pyetrade,8745027228,master,0d0960c14103f112188c0fa34f9ec19cdc8e3f03,Python,completed,success,2024-04-18T21:38:25Z,2024-04-18T21:42:45Z,260.0,14,0,0,0,True,1,1,".txt, .lock, .py",0,0,0,2,0,False,1,0,1,1,1,2,"[23999176445, 23999176824, 23999177062, 23999177245, 23999177449, 23999177659, 23999177886, 23999178045, 23999178230, 23999178391, 23999178600, 23999178820]",12,2024-04-18T21:33:54Z,3,1,0,,0.0,,11,42,['pytest'],0,0,0,0,9.439279317855835
jessecooper/pyetrade,8758149405,master,15eff5f3dee55d74d781a33686ee2b7e827e6543,Python,completed,success,2024-04-19T18:39:29Z,2024-04-19T18:43:21Z,232.0,15,0,0,0,True,1724,1302,", .toml, .rst, .yaml, .lock, .txt, .cfg, .py, .ini, .md",978,408,1386,3026,0,False,2702,0,14,8,16,2,"[24038307345, 24038307631, 24038307806, 24038307973, 24038308158, 24038308333, 24038308600, 24038308793, 24038308950, 24038309120, 24038309376, 24038309548]",12,2024-04-19T18:39:26Z,3,1,0,,361.9541080680977,,11,42,['pytest'],0,0,0,0,7.326526880264282
jessecooper/pyetrade,8759370650,master,cd2d9fd5d7cf982522afa6cb19a7df3e6f3ac809,Python,completed,success,2024-04-19T20:40:27Z,2024-04-19T20:44:47Z,260.0,16,0,0,0,True,4,4,".py, .cfg, .yaml",0,0,0,8,0,False,4,0,4,0,3,2,"[24042219380, 24042219665, 24042219845, 24042220218, 24042220572, 24042220744, 24042221015, 24042221167, 24042221378, 24042221602, 24042221957, 24042222203]",12,2024-04-19T20:39:58Z,3,2,0,,0.0,,11,42,['pytest'],0,0,0,0,8.346310377120972
jessecooper/pyetrade,8784039279,master,66ec79637141ddc5b9943274e4208c60fb39d107,Python,completed,success,2024-04-22T12:30:00Z,2024-04-22T12:34:42Z,282.0,17,0,0,0,True,0,0,.yml,0,0,0,0,0,False,0,0,0,0,2,2,"[24101449913, 24101450347, 24101450682, 24101450989, 24101451335, 24101451720, 24101452147, 24101452501, 24101452902, 24101453208, 24101453549, 24101454318]",12,2024-04-22T12:29:41Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,6.967267751693726
jessecooper/pyetrade,8784113880,master,1043d9b042feb68a0b41441653c0b82b4912626c,Python,completed,success,2024-04-22T12:35:04Z,2024-04-22T12:38:47Z,223.0,19,0,0,0,True,0,0,.yml,0,0,0,0,0,False,0,0,0,0,2,2,"[24101676591, 24101677211, 24101677583, 24101677943, 24101678305, 24101678670, 24101678960, 24101679222, 24101679503, 24101679771, 24101680379, 24101680994]",12,2024-04-22T12:34:54Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,7.087192058563232
jessecooper/pyetrade,8784144352,master,4e4ed8bef2e2771b542a9502da791bb2059636e9,Python,completed,success,2024-04-22T12:37:23Z,2024-04-22T12:41:31Z,248.0,19,0,0,0,True,0,0,.yml,0,0,0,0,0,False,0,0,0,0,1,2,"[24101775603, 24101775950, 24101776238, 24101776614, 24101776919, 24101777152, 24101777390, 24101777676, 24101777957, 24101778318, 24101778932, 24101779215]",12,2024-04-22T12:37:13Z,3,1,0,,0,,11,42,['pytest'],0,0,0,0,6.936899185180664
jessecooper/pyetrade,8976261962,dependabot/pip/jinja2-3.1.4,7c3437efc5d312dfd28f6e134877731d57004635,Python,completed,success,2024-05-06T21:51:14Z,2024-05-06T21:55:25Z,251.0,20,0,0,0,True,0,2,", .toml, .py, .yaml, .txt, .lock",0,0,0,2,0,False,0,0,1,1,6,3,"[24652731497, 24652731834, 24652732069, 24652732223, 24652732386, 24652732557, 24652732727, 24652732882, 24652733029, 24652733210, 24652733367, 24652733527]",12,2024-05-06T21:51:10Z,3,2,0,,0,,11,42,['pytest'],0,0,0,0,7.639057159423828
